Date,Symbol,Close
1/3/12,JPM,34.98
1/4/12,JPM,34.95
1/5/12,JPM,35.68
1/6/12,JPM,35.36
1/9/12,JPM,35.3
1/10/12,JPM,36.05
1/11/12,JPM,36.66
1/12/12,JPM,36.85
1/13/12,JPM,35.92
1/17/12,JPM,34.91
1/18/12,JPM,36.54
1/19/12,JPM,36.93
1/20/12,JPM,37.36
1/23/12,JPM,37.66
1/24/12,JPM,37.66
1/25/12,JPM,37.6
1/26/12,JPM,37.49
1/27/12,JPM,37.21
1/30/12,JPM,37.01
1/31/12,JPM,37.3
2/1/12,JPM,37.6
2/2/12,JPM,37.55
2/3/12,JPM,38.28
2/6/12,JPM,38.14
2/7/12,JPM,37.87
2/8/12,JPM,38.3
2/9/12,JPM,37.86
2/10/12,JPM,37.61
2/13/12,JPM,38.3
2/14/12,JPM,37.92
2/15/12,JPM,37.4
2/16/12,JPM,38
2/17/12,JPM,38.47
2/21/12,JPM,38.46
2/22/12,JPM,38.07
2/23/12,JPM,38.49
2/24/12,JPM,38.28
2/27/12,JPM,39.06
2/28/12,JPM,39.21
2/29/12,JPM,39.24
3/1/12,JPM,40.37
3/2/12,JPM,40.63
3/5/12,JPM,40.4
3/6/12,JPM,39.32
3/7/12,JPM,39.95
3/8/12,JPM,40.44
3/9/12,JPM,41.03
3/12/12,JPM,40.54
3/13/12,JPM,43.39
3/14/12,JPM,43.58
3/15/12,JPM,44.7
3/16/12,JPM,44.57
3/19/12,JPM,45
3/20/12,JPM,45.38
3/21/12,JPM,45.12
3/22/12,JPM,44.65
3/23/12,JPM,45.16
3/26/12,JPM,46.17
3/27/12,JPM,45.89
3/28/12,JPM,46.27
3/29/12,JPM,45.67
3/30/12,JPM,45.98
4/2/12,JPM,46.13
4/3/12,JPM,45.42
4/4/12,JPM,44.41
4/5/12,JPM,44.34
4/9/12,JPM,43.89
4/10/12,JPM,42.96
4/11/12,JPM,44.01
4/12/12,JPM,44.84
4/13/12,JPM,43.21
4/16/12,JPM,43.33
4/17/12,JPM,43.9
4/18/12,JPM,43.29
4/19/12,JPM,43.22
4/20/12,JPM,42.72
4/23/12,JPM,42.85
4/24/12,JPM,43.28
4/25/12,JPM,43.16
4/26/12,JPM,43.8
4/27/12,JPM,43.34
4/30/12,JPM,42.98
5/1/12,JPM,43.79
5/2/12,JPM,43.2
5/3/12,JPM,43.01
5/4/12,JPM,41.75
5/7/12,JPM,41.78
5/8/12,JPM,41.38
5/9/12,JPM,40.64
5/10/12,JPM,40.74
5/11/12,JPM,36.96
5/14/12,JPM,35.79
5/15/12,JPM,36.24
5/16/12,JPM,35.46
5/17/12,JPM,33.93
5/18/12,JPM,33.49
5/21/12,JPM,32.51
5/22/12,JPM,34.01
5/23/12,JPM,34.01
5/24/12,JPM,33.97
5/25/12,JPM,33.5
5/29/12,JPM,33.63
5/30/12,JPM,32.96
