Date,Symbol,Close
1/3/12,ntrs,40.66
1/4/12,ntrs,40.61
1/5/12,ntrs,40.96
1/6/12,ntrs,41.01
1/9/12,ntrs,41.41
1/10/12,ntrs,42
1/11/12,ntrs,42.26
1/12/12,ntrs,42.52
1/13/12,ntrs,42.17
1/17/12,ntrs,41.93
1/18/12,ntrs,41.22
1/19/12,ntrs,42.12
1/20/12,ntrs,43.07
1/23/12,ntrs,43.17
1/24/12,ntrs,42.79
1/25/12,ntrs,42.26
1/26/12,ntrs,41.08
1/27/12,ntrs,41.67
1/30/12,ntrs,41.36
1/31/12,ntrs,41.17
2/1/12,ntrs,42.15
2/2/12,ntrs,42.4
2/3/12,ntrs,44.09
2/6/12,ntrs,44.15
2/7/12,ntrs,44.17
2/8/12,ntrs,44.19
2/9/12,ntrs,44.06
2/10/12,ntrs,43.63
2/13/12,ntrs,43.65
2/14/12,ntrs,43.41
2/15/12,ntrs,43.18
2/16/12,ntrs,43.85
2/17/12,ntrs,43.88
2/21/12,ntrs,43.73
2/22/12,ntrs,43.02
2/23/12,ntrs,43.88
2/24/12,ntrs,43.86
2/27/12,ntrs,44.43
2/28/12,ntrs,44.39
2/29/12,ntrs,44.41
3/1/12,ntrs,44.96
3/2/12,ntrs,44.93
3/5/12,ntrs,44.33
3/6/12,ntrs,43.49
3/7/12,ntrs,43.64
3/8/12,ntrs,43.97
3/9/12,ntrs,44.28
3/12/12,ntrs,44.62
3/13/12,ntrs,45.57
3/14/12,ntrs,45.94
3/15/12,ntrs,47.2
3/16/12,ntrs,47.27
3/19/12,ntrs,47.62
3/20/12,ntrs,47.61
3/21/12,ntrs,47.4
3/22/12,ntrs,46.95
3/23/12,ntrs,47.26
3/26/12,ntrs,47.9
3/27/12,ntrs,47.48
3/28/12,ntrs,47.53
3/29/12,ntrs,47.1
3/30/12,ntrs,47.45
4/2/12,ntrs,47.83
4/3/12,ntrs,47.9
4/4/12,ntrs,47.04
4/5/12,ntrs,47.1
4/9/12,ntrs,46.22
4/10/12,ntrs,45.3
4/11/12,ntrs,46.02
4/12/12,ntrs,46.79
4/13/12,ntrs,45.7
4/16/12,ntrs,46.16
4/17/12,ntrs,46.87
4/18/12,ntrs,46.55
4/19/12,ntrs,46.46
4/20/12,ntrs,46.32
4/23/12,ntrs,45.81
4/24/12,ntrs,46.42
4/25/12,ntrs,46.91
4/26/12,ntrs,47.17
4/27/12,ntrs,47.58
4/30/12,ntrs,47.56
5/1/12,ntrs,47.82
5/2/12,ntrs,47.12
5/3/12,ntrs,47.04
5/4/12,ntrs,46.61
5/7/12,ntrs,46.73
5/8/12,ntrs,46.23
5/9/12,ntrs,45.16
5/10/12,ntrs,45.37
5/11/12,ntrs,45.12
5/14/12,ntrs,44.19
5/15/12,ntrs,44.37
5/16/12,ntrs,43.97
5/17/12,ntrs,43.57
5/18/12,ntrs,43.17
5/21/12,ntrs,43.31
5/22/12,ntrs,43.37
5/23/12,ntrs,43.52
5/24/12,ntrs,43.66
5/25/12,ntrs,43.49
5/29/12,ntrs,43.94
5/30/12,ntrs,42.85
5/31/12,ntrs,43.18
6/1/12,ntrs,41.72
6/4/12,ntrs,41.59
6/5/12,ntrs,41.47
6/6/12,ntrs,42.39
6/7/12,ntrs,42.76
6/8/12,ntrs,43.27
6/11/12,ntrs,42.82
6/12/12,ntrs,43.69
6/13/12,ntrs,43.03
6/14/12,ntrs,43.64
6/15/12,ntrs,44.35
6/18/12,ntrs,44
6/19/12,ntrs,44.64
6/20/12,ntrs,44.53
6/21/12,ntrs,43.29
6/22/12,ntrs,43.94
6/25/12,ntrs,43.46
6/26/12,ntrs,43.73
6/27/12,ntrs,43.95
6/28/12,ntrs,44.01
6/29/12,ntrs,46.02
7/2/12,ntrs,46.35
7/3/12,ntrs,46.62
7/5/12,ntrs,47.05
7/6/12,ntrs,46.49
7/9/12,ntrs,46.44
7/10/12,ntrs,45.8
7/11/12,ntrs,46.66
7/12/12,ntrs,45.82
7/13/12,ntrs,47.05
7/16/12,ntrs,47.03
7/17/12,ntrs,47.07
7/18/12,ntrs,46.24
7/19/12,ntrs,46
7/20/12,ntrs,45.3
7/23/12,ntrs,45.06
7/24/12,ntrs,44.82
7/25/12,ntrs,44.57
7/26/12,ntrs,45.44
7/27/12,ntrs,46.25
7/30/12,ntrs,45.71
7/31/12,ntrs,45.4
8/1/12,ntrs,45.05
8/2/12,ntrs,44.09
8/3/12,ntrs,45.48
8/6/12,ntrs,45.3
8/7/12,ntrs,46.01
8/8/12,ntrs,46.08
8/9/12,ntrs,46.17
8/10/12,ntrs,46.22
8/13/12,ntrs,46.23
8/14/12,ntrs,46.33
8/15/12,ntrs,46.49
8/16/12,ntrs,47.18
