Date,Close,Stock,,Date,Close,Stock,,Date,Close,Stock
1/3/2012 16:00,34.98,JPM,,1/3/2012 16:00,41.82,STT,,1/3/2012 16:00,40.66,NTRS
1/4/2012 16:00,34.95,JPM,,1/4/2012 16:00,41.3,STT,,1/4/2012 16:00,40.61,NTRS
1/5/2012 16:00,35.68,JPM,,1/5/2012 16:00,41.76,STT,,1/5/2012 16:00,40.96,NTRS
1/6/2012 16:00,35.36,JPM,,1/6/2012 16:00,41.76,STT,,1/6/2012 16:00,41.01,NTRS
1/9/2012 16:00,35.3,JPM,,1/9/2012 16:00,41.77,STT,,1/9/2012 16:00,41.41,NTRS
1/10/2012 16:00,36.05,JPM,,1/10/2012 16:00,43.17,STT,,1/10/2012 16:00,42,NTRS
1/11/2012 16:00,36.66,JPM,,1/11/2012 16:00,43.05,STT,,1/11/2012 16:00,42.26,NTRS
1/12/2012 16:00,36.85,JPM,,1/12/2012 16:00,43.61,STT,,1/12/2012 16:00,42.52,NTRS
1/13/2012 16:00,35.92,JPM,,1/13/2012 16:00,42.94,STT,,1/13/2012 16:00,42.17,NTRS
1/17/2012 16:00,34.91,JPM,,1/17/2012 16:00,42.75,STT,,1/17/2012 16:00,41.93,NTRS
1/18/2012 16:00,36.54,JPM,,1/18/2012 16:00,39.95,STT,,1/18/2012 16:00,41.22,NTRS
1/19/2012 16:00,36.93,JPM,,1/19/2012 16:00,41.06,STT,,1/19/2012 16:00,42.12,NTRS
1/20/2012 16:00,37.36,JPM,,1/20/2012 16:00,41.5,STT,,1/20/2012 16:00,43.07,NTRS
1/23/2012 16:00,37.66,JPM,,1/23/2012 16:00,41.79,STT,,1/23/2012 16:00,43.17,NTRS
1/24/2012 16:00,37.66,JPM,,1/24/2012 16:00,41.31,STT,,1/24/2012 16:00,42.79,NTRS
1/25/2012 16:00,37.6,JPM,,1/25/2012 16:00,39.91,STT,,1/25/2012 16:00,42.26,NTRS
1/26/2012 16:00,37.49,JPM,,1/26/2012 16:00,38.78,STT,,1/26/2012 16:00,41.08,NTRS
1/27/2012 16:00,37.21,JPM,,1/27/2012 16:00,39.06,STT,,1/27/2012 16:00,41.67,NTRS
1/30/2012 16:00,37.01,JPM,,1/30/2012 16:00,38.83,STT,,1/30/2012 16:00,41.36,NTRS
1/31/2012 16:00,37.3,JPM,,1/31/2012 16:00,39.18,STT,,1/31/2012 16:00,41.17,NTRS
2/1/2012 16:00,37.6,JPM,,2/1/2012 16:00,40.2,STT,,2/1/2012 16:00,42.15,NTRS
2/2/2012 16:00,37.55,JPM,,2/2/2012 16:00,40.98,STT,,2/2/2012 16:00,42.4,NTRS
2/3/2012 16:00,38.28,JPM,,2/3/2012 16:00,42.57,STT,,2/3/2012 16:00,44.09,NTRS
2/6/2012 16:00,38.14,JPM,,2/6/2012 16:00,41.83,STT,,2/6/2012 16:00,44.15,NTRS
2/7/2012 16:00,37.87,JPM,,2/7/2012 16:00,41.64,STT,,2/7/2012 16:00,44.17,NTRS
