Date,Symbol,Close
1/3/12,STT,41.82
1/4/12,STT,41.3
1/5/12,STT,41.76
1/6/12,STT,41.76
1/9/12,STT,41.77
1/10/12,STT,43.17
1/11/12,STT,43.05
1/12/12,STT,43.61
1/13/12,STT,42.94
1/17/12,STT,42.75
1/18/12,STT,39.95
1/19/12,STT,41.06
1/20/12,STT,41.5
1/23/12,STT,41.79
1/24/12,STT,41.31
1/25/12,STT,39.91
1/26/12,STT,38.78
1/27/12,STT,39.06
1/30/12,STT,38.83
1/31/12,STT,39.18
2/1/12,STT,40.2
2/2/12,STT,40.98
2/3/12,STT,42.57
2/6/12,STT,41.83
2/7/12,STT,41.64
2/8/12,STT,41.81
2/9/12,STT,41.1
2/10/12,STT,40.66
2/13/12,STT,40.23
2/14/12,STT,39.46
2/15/12,STT,39.52
2/16/12,STT,40.36
2/17/12,STT,40.25
2/21/12,STT,40.01
2/22/12,STT,39.62
2/23/12,STT,40.86
2/24/12,STT,40.53
2/27/12,STT,41.46
2/28/12,STT,42.02
2/29/12,STT,42.23
3/1/12,STT,42.42
3/2/12,STT,41.98
3/5/12,STT,41.76
3/6/12,STT,40.92
3/7/12,STT,41.42
3/8/12,STT,41.76
3/9/12,STT,42.1
3/12/12,STT,41.68
3/13/12,STT,43.87
3/14/12,STT,44.88
3/15/12,STT,45.84
3/16/12,STT,45.76
3/19/12,STT,45.96
3/20/12,STT,45.9
3/21/12,STT,45.53
3/22/12,STT,45.01
3/23/12,STT,45.63
3/26/12,STT,46.29
3/27/12,STT,45.49
3/28/12,STT,45.47
3/29/12,STT,45.06
3/30/12,STT,45.5
4/2/12,STT,45.88
4/3/12,STT,45.9
4/4/12,STT,44.6
4/5/12,STT,44.56
4/9/12,STT,43.82
4/10/12,STT,43
4/11/12,STT,43.32
4/12/12,STT,44.18
4/13/12,STT,43.19
4/16/12,STT,43.68
4/17/12,STT,44.55
4/18/12,STT,44.94
4/19/12,STT,45.03
4/20/12,STT,45.12
4/23/12,STT,44.57
4/24/12,STT,45.22
4/25/12,STT,45.95
4/26/12,STT,46.36
4/27/12,STT,46.32
4/30/12,STT,46.22
5/1/12,STT,46.55
5/2/12,STT,46.16
5/3/12,STT,46.07
5/4/12,STT,45.19
5/7/12,STT,45.27
5/8/12,STT,44.74
5/9/12,STT,43.66
5/10/12,STT,43.9
5/11/12,STT,43.57
5/14/12,STT,42.44
5/15/12,STT,42.78
5/16/12,STT,41.8
5/17/12,STT,41.5
5/18/12,STT,41.1
5/21/12,STT,41.64
5/22/12,STT,41.44
5/23/12,STT,41.44
5/24/12,STT,41.73
5/25/12,STT,41.78
5/29/12,STT,42.57
5/30/12,STT,41.63
5/31/12,STT,41.21
6/1/12,STT,39.88
6/4/12,STT,39.52
6/5/12,STT,39.86
6/6/12,STT,41.12
6/7/12,STT,41.85
6/8/12,STT,42.16
6/11/12,STT,42.79
6/12/12,STT,43.42
6/13/12,STT,43.32
6/14/12,STT,43.3
6/15/12,STT,43.85
6/18/12,STT,43.61
6/19/12,STT,44.42
6/20/12,STT,43.9
6/21/12,STT,43.14
6/22/12,STT,43.91
6/25/12,STT,42.5
6/26/12,STT,42.5
6/27/12,STT,42.99
6/28/12,STT,43.17
6/29/12,STT,44.64
7/2/12,STT,44.72
7/3/12,STT,44.91
7/5/12,STT,44.8
7/6/12,STT,44.04
7/9/12,STT,43.67
7/10/12,STT,43.18
7/11/12,STT,43.2
7/12/12,STT,42.8
7/13/12,STT,44.11
7/16/12,STT,44.14
7/17/12,STT,41.33
7/18/12,STT,41.61
7/19/12,STT,41.54
7/20/12,STT,40.08
